wavelength_um,radius_arcsec
3.575672,0.45
3.577968,0.45
3.5802639,0.45
3.58256,0.45
3.584856,0.45
3.587152,0.45
3.5894482,0.45
3.5917442,0.45
3.5940402,0.45
3.5963361,0.45
3.5986323,0.45
3.6009283,0.45
3.6032243,0.45
3.6055205,0.45
3.6078165,0.45
3.6101124,0.45
3.6124086,0.45
3.6147046,0.45
3.6170006,0.45
3.6192966,0.45
3.6215928,0.45
3.6238887,0.45
3.6261847,0.45
3.628481,0.45
3.630777,0.45
3.6330729,0.45
3.635369,0.45
3.637665,0.45
3.639961,0.45
3.642257,0.45
3.6445532,0.45
3.6468492,0.45
3.6491451,0.45
3.6514413,0.45
3.6537373,0.45
3.6560333,0.45
3.6583295,0.45
3.6606255,0.45
3.6629214,0.45
3.6652176,0.45
3.6675136,0.45
3.6698096,0.45
3.6721056,0.45
3.6744018,0.45
3.6766977,0.45
3.6789937,0.45
3.68129,0.45
3.683586,0.45
3.6858819,0.45
3.688178,0.45
3.690474,0.45
3.69277,0.45
3.695066,0.45
3.6973622,0.45
3.6996582,0.45
3.7019541,0.45
3.7042503,0.45
3.7065463,0.45
3.7088423,0.45
3.7111385,0.45
3.7134345,0.45
3.7157304,0.45
3.7180264,0.45
3.7203226,0.45
3.7226186,0.45
3.7249146,0.45
3.7272108,0.45
3.7295067,0.45
3.7318027,0.45
3.734099,0.45
3.736395,0.45
3.7386909,0.45
3.740987,0.45
3.743283,0.45
3.745579,0.45
3.747875,0.45
3.7501712,0.45
3.7524672,0.45
3.7547631,0.45
3.7570593,0.45
3.7593553,0.45
3.7616513,0.45
3.7639475,0.45
3.7662435,0.45
3.7685394,0.45
3.7708354,0.45
3.7731316,0.45
3.7754276,0.45
3.7777236,0.45
3.7800198,0.45
3.7823157,0.45
3.7846117,0.45
3.786908,0.45
3.789204,0.45
3.7914999,0.45
3.7937958,0.45
3.796092,0.45
3.798388,0.45
3.800684,0.45
3.8029802,0.45
3.8052762,0.45
3.8075721,0.45
3.8098683,0.45
3.8121643,0.45
3.8144603,0.45
3.8167562,0.45
3.8190525,0.45
3.8213484,0.45
3.8236444,0.45
3.8259406,0.45
3.8282366,0.45
3.8305326,0.45
3.8328288,0.45
3.8351247,0.45
3.8374207,0.45
3.839717,0.45
3.842013,0.45
3.8443089,0.45
3.8466048,0.45
3.848901,0.45
3.851197,0.45
3.853493,0.45
3.8557892,0.45
